Hugo_Symbol	Entrez_Gene_Id	TCGA-A6-2670	TCGA-A6-2671	TCGA-A6-2672	TCGA-A6-2674	TCGA-A6-2675	TCGA-A6-2676
ACAP3	116983	-1	0	0	0	0	0
AGRN	375790	-1	0	0	0	0	0
ATAD3A	55210	-1	0	0	0	0	0
ATAD3B	83858	-1	0	0	0	0	0
ATAD3C	219293	-1	0	0	0	0	0
AURKAIP1	54998	2	2	2	0	0	2
B3GALT6	126792	-1	0	0	1	0	0
C1orf159	54991	-1	0	0	0	0	0
C1orf170	84808	-1	0	0	0	0	0
C1orf70	339453	-1	0	0	1	0	-2
CCNL2	81669	-1	0	0	1	0	0
CDC2L1	984	2	0	0	1	0	0
CDC2L2	728642	-1	0	2	0	0	0
CPSF3L	54973	-1	0	0	0	0	0
DVL1	1855	-1	0	0	0	0	-2
FAM132A	388581	-1	0	-2	0	0	0
FAM138A	645520	0	0	0	0	0	0
FAM138C	654835	0	0	0	0	0	0
FAM138F	641702	0	0	0	0	0	0
FAM41C	284593	-1	0	-2	0	0	0
FLJ39609	100130417	-1	0	0	0	0	0
GLTPD1	80772	-1	0	0	0	0	2
GNB1	2782	-1	0	0	0	0	2
HES4	57801	-1	0	0	0	0	0
ISG15	9636	-1	0	0	1	0	0
KLHL17	339451	-1	0	0	1	0	0
LOC100128842	100128842	-1	0	0	0	0	0
LOC100132062	100132062	-1	0	0	0	0	0
LOC100132287	100132287	-1	0	-1	0	0	0
LOC100133331	100133331	-1	0	0	0	0	0
LOC100288778	100288778	-1	0	0	0	0	0
LOC148413	148413	-1	0	0	0	0	0
LOC441869	441869	-1	0	0	0	0	0
LOC643837	643837	-1	0	0	0	0	0
LOC728661	728661	-1	0	0	0	0	0
MIB2	142678	-1	0	0	0	0	0
MIR200A	406983	-1	0	0	0	0	0
MIR200B	406984	-1	0	0	0	0	0
MIR429	554210	-1	0	0	0	0	0
MMP23A	8511	-1	0	0	0	0	0
MMP23B	8510	-1	0	0	0	0	0
MRPL20	55052	-1	0	0	0	0	0
MXRA8	54587	-1	0	0	0	0	0
NADK	65220	-1	0	0	-1	2	0
NCRNA00115	79854	-1	0	0	0	2	0
NOC2L	26155	-1	0	0	0	2	1
OR4F16	81399	-1	0	0	0	2	0
OR4F29	729759	-1	0	0	-1	0	1
OR4F3	26683	-1	0	-1	0	0	1
OR4F5	79501	-1	0	0	0	0	1
PLEKHN1	84069	-1	0	0	0	0	0
PUSL1	126789	-1	0	0	0	0	0
SAMD11	148398	-1	0	0	0	0	0
SCNN1D	6339	-1	0	0	0	0	0
SDF4	51150	-1	0	0	0	0	0
SLC35E2	9906	-1	0	0	0	0	0
SSU72	29101	-1	0	0	0	0	0
TAS1R3	83756	-1	0	0	0	0	0
TMEM88B	643965	-1	0	0	0	0	0
TNFRSF18	8784	-1	0	0	0	0	0
TNFRSF4	7293	-1	0	0	0	0	0
TTLL10	254173	-1	0	0	0	0	0
UBE2J2	118424	-1	0	0	0	0	0
VWA1	64856	-1	0	0	0	0	0
